desc,name
[b'The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.'],[b'Albert Einstein']
"[b'It is our choices, Harry, that show what we truly are, far more than our abilities.']",[b'J.K. Rowling']
[b'There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.'],[b'Albert Einstein']
"[b'The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.']",[b'Jane Austen']
"[b""Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.""]",[b'Marilyn Monroe']
[b'Try not to become a man of success. Rather become a man of value.'],[b'Albert Einstein']
[b'It is better to be hated for what you are than to be loved for what you are not.'],[b'Andr Gide']
"[b""I have not failed. I've just found 10,000 ways that won't work.""]",[b'Thomas A. Edison']
"[b""A woman is like a tea bag; you never know how strong it is until it's in hot water.""]",[b'Eleanor Roosevelt']
"[b'A day without sunshine is like, you know, night.']",[b'Steve Martin']
"[b""This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.""]",[b'Marilyn Monroe']
"[b'It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.']",[b'J.K. Rowling']
"[b""If you can't explain it to a six year old, you don't understand it yourself.""]",[b'Albert Einstein']
"[b""You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectyou aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakher heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.""]",[b'Bob Marley']
"[b'I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.']",[b'Dr. Seuss']
"[b'I may not have gone where I intended to go, but I think I have ended up where I needed to be.']",[b'Douglas Adams']
"[b""The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.""]",[b'Elie Wiesel']
"[b'It is not a lack of love, but a lack of friendship that makes unhappy marriages.']",[b'Friedrich Nietzsche']
"[b'Good friends, good books, and a sleepy conscience: this is the ideal life.']",[b'Mark Twain']
[b'Life is what happens to us while we are making other plans.'],[b'Allen Saunders']
"[b'I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.']",[b'Pablo Neruda']
[b'For every minute you are angry you lose sixty seconds of happiness.'],[b'Ralph Waldo Emerson']
"[b'If you judge people, you have no time to love them.']",[b'Mother Teresa']
[b'Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.'],[b'Garrison Keillor']
[b'Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.'],[b'Jim Henson']
"[b'Today you are You, that is truer than true. There is no one alive who is Youer than You.']",[b'Dr. Seuss']
"[b'If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.']",[b'Albert Einstein']
"[b'It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.']",[b'J.K. Rowling']
[b'Logic will get you from A to Z; imagination will get you everywhere.'],[b'Albert Einstein']
"[b'One good thing about music, when it hits you, you feel no pain.']",[b'Bob Marley']
"[b""The more that you read, the more things you will know. The more that you learn, the more places you'll go.""]",[b'Dr. Seuss']
"[b'Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?']",[b'J.K. Rowling']
"[b'The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.']",[b'Bob Marley']
[b'Not all of us can do great things. But we can do small things with great love.'],[b'Mother Teresa']
"[b'To the well-organized mind, death is but the next great adventure.']",[b'J.K. Rowling']
"[b""All you need is love. But a little chocolate now and then doesn't hurt.""]",[b'Charles M. Schulz']
"[b""We read to know we're not alone.""]",[b'William Nicholson']
[b'Any fool can know. The point is to understand.'],[b'Albert Einstein']
[b'I have always imagined that Paradise will be a kind of library.'],[b'Jorge Luis Borges']
[b'It is never too late to be what you might have been.'],[b'George Eliot']
"[b'A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.']",[b'George R.R. Martin']
[b'You can never get a cup of tea large enough or a book long enough to suit me.'],[b'C.S. Lewis']
[b'You believe lies so you eventually learn to trust no one but yourself.'],[b'Marilyn Monroe']
"[b'If you can make a woman laugh, you can make her do anything.']",[b'Marilyn Monroe']
"[b'Life is like riding a bicycle. To keep your balance, you must keep moving.']",[b'Albert Einstein']
[b'The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.'],[b'Marilyn Monroe']
"[b""A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.""]",[b'Marilyn Monroe']
[b'Only in the darkness can you see the stars.'],[b'Martin Luther King Jr.']
"[b'It matters not what someone is born, but what they grow to be.']",[b'J.K. Rowling']
"[b'Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.']",[b'James Baldwin']
"[b'There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.']",[b'Jane Austen']
[b'Do one thing every day that scares you.'],[b'Eleanor Roosevelt']
"[b'I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.']",[b'Marilyn Monroe']
"[b'If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.']",[b'Albert Einstein']
"[b'If you only read the books that everyone else is reading, you can only think what everyone else is thinking.']",[b'Haruki Murakami']
